User ID	Items	Lists	Friends
1049256	0	2	9
289994	0	32	0
62360	0	1	0
1988380	0	27	2
71755416	0	8	0
2595308	0	37	0
275967	0	1	2
36265392	0	4	1
33401273	0	4	0
14835502	0	9	0
11944666	0	1	0
6863318	0	11	0
8255136	0	5	1
533	0	45	0
19710480	0	5	0
5665440	0	9	0
169540	0	82	10
2772092	0	5	2
42284040	0	3	0
1020223	0	12	2
41985192	0	1	0
739061	0	9	0
4299613	0	10	0
32923332	0	1	0
14139651	0	25	0
28630052	0	1	1
4902979	0	7	0
19951786	0	1	0
45775518	0	8	0
43412544	0	22	0
14122194	0	1	0
14008115	0	2	0
12459982	0	1	0
32042398	0	6	0
3386201	0	7	0
4505112	0	5	0
14019922	0	30	0
7118821	0	2	0
55528517	0	2	0
79824	0	7	1
1038262	0	7	1
9160759	0	1087	12
3792707	0	17	0
19726338	0	9	0
14130179	0	16	0
6909884	0	25	10
11088258	0	4	0
23818488	0	1	0
18478471	0	36	1
11665695	0	2	0
39278190	0	3	0
15041958	0	92	0
14950036	0	16	0
18181074	0	5	0
2525976	0	2	1
2802932	0	4	0
2801889	0	1	0
20500249	0	20	0
394699	0	11	0
12153582	0	12	7
43492573	0	6	1
40669531	0	3	0
6565352	0	324	0
12603662	0	7	4
2498550	0	2	0
23418227	0	288	24
3121906	0	19	0
2368089	0	5	0
55548325	0	7	1
17146099	0	6	0
14121476	0	8	0
74214053	0	1	0
8675490	0	1	0
11821752	0	90	1
21491712	0	2	0
8425140	0	4	0
2109660	0	1	2
131807	0	14	0
18197872	0	23	0
67526240	0	1	0
25031272	0	72	0
2195929	0	6	0
131025	0	8	0
47469718	0	3	3
4348325	0	8	0
16485041	0	6	0
4755970	0	1	0
6433556	0	8	0
10357077	0	8	0
4915874	0	3	0
5703488	0	3	0
20045172	0	1	0
3307110	0	2	0
2473148	0	12	0
1150038	0	3	0
2351554	0	4	0
47229695	0	2	0
29252085	0	28	0
16403793	0	16	6
608300	0	7	3
1443939	0	3	0
38512029	0	4	0
8317074	0	1	1
16087151	11	9	0
4296485	0	2	0
28590178	0	1	1
5665412	0	23	0
2653817	0	5	0
13779381	0	8	0
22733502	0	8	0
5558840	0	2	1
12992162	0	1	0
6277080	0	2	0
29684841	0	3	6
15639695	0	6	0
2802906	0	8	0
5784094	9	4	0
6550586	0	7	0
251343	41	7	0
1140506	0	2	0
10876451	0	5	0
7634813	0	21	0
3017253	0	5	0
18931600	0	55	1
12902947	0	2	1
53662664	0	46	1
25638740	6	88	7
26193577	0	40	10
20107661	0	2	0
23896001	0	1	0
21979558	0	69	2
31425323	0	2	0
17317791	0	8	0
6908705	0	1	0
63739442	0	2	0
2368043	0	12	2
4270883	0	1	0
10295731	0	12	0
11653287	0	3	0
5708704	0	22	3
3985717	0	10	0
15754003	0	1	0
19705311	0	41	0
1166707	0	7	0
10321786	0	1	2
20751158	0	4	0
2921001	0	1	0
23778794	0	12	0
17863114	0	25	0
9596756	0	16	1
313999	0	2	0
3781701	0	15	0
3685229	0	2	0
74580666	0	5	0
37216631	0	210	6
3438798	0	2	0
99922440	0	5	0
1275097	0	10	0
16191178	0	1	0
15595336	0	5	0
261321	0	2	0
